id,place,address,category,age,withnum,house,foodprice,nature,history,resting,performance,culture,leports,shopping,food
168,이이요[일식],서울 광진구 능동로32길 6-0,외국식,,23,,2,,,,,,,,3
169,스타벅스강변역점,서울 광진구 구의강변로 64-0,카페/찻집,,1234,,,,,,,,,,5
170,양촌리생삼겹살,서울 광진구 아차산로 482-0,한식,,1234,,,,,,,,,,1
171,스시토푸,서울 광진구 아차산로 612-0,외국식,,234,,2,,,,,,,,3
172,대가식당,서울 광진구 광나루로 596-0,한식,,1234,,,,,,,,,,1
173,탐앤탐스탐스커버리건대점,서울 광진구 아차산로 236-0,카페/찻집,,1234,,,,,,,,,,5
174,모두랑분식,서울 광진구 자양로28길 24-0,간이음식,,234,,1,,,,,,,,1
175,콩예원,서울 광진구 아차산로78길 75-0,한식,,1234,,,,,,,,,,1
176,스시텐강변점,서울 광진구 구의강변로 86-0,외국식,,234,,2,,,,,,,,3
177,도치피자강변점,서울 광진구 아차산로62길 14-4,간이음식,,234,,2,,,,,,,,
178,감성타코건대점,서울 광진구 능동로13길 39-0,외국식,,12,,2,,,,,,,,4
179,카페드노보,서울 광진구 아차산로78길 157-0,카페/찻집,,1234,,,,,,,,,,5
180,스타벅스어린이대공원역점,서울 광진구 능동로 243-0,카페/찻집,,1234,,,,,,,,,,5
181,체리커피,서울 광진구 능동로 284-0,카페/찻집,,1234,,,,,,,,,,5
182,모모랑라이더카페,서울 광진구 동일로 341-0,카페/찻집,,1234,,,,,,,,,,5
183,대게나라광장점,서울 광진구 천호대로 611-0,외국식,,234,,3,,,,,,,,
184,애슐리퀸즈강변점,서울 광진구 광나루로56길 85-0,외국식,,234,,2,,,,,,,,4
185,버거킹군자능동점,서울 광진구 능동로 245-0,간이음식,,123,,1,,,,,,,,4
186,줄줄이김밥,서울 광진구 구의로12길 4-0,간이음식,,123,,1,,,,,,,,1
187,설빙건대직영2호점,서울 광진구 아차산로 230-0,카페/찻집,,1234,,,,,,,,,,5
188,이화만두,서울 광진구 능동로 278-1,한식,,124,,,,,,,,,,1
189,뽀빠이기사식당,서울 광진구 긴고랑로 17-1,한식,,234,,,,,,,,,,1
190,우성식당,서울 광진구 자양번영로 60-1,한식,,234,,,,,,,,,,1
191,스타벅스올림픽대교북단점,서울 광진구 광나루로 608-0,카페/찻집,,1234,,,,,,,,,,5
192,남한강민물매운탕,서울 광진구 동일로 150-0,한식,,234,,,,,,,,,,1
193,후문카페,서울 광진구 능동로36길 183-0,카페/찻집,,1234,,,,,,,,,,5
194,범가[중식],서울 광진구 광장로 58-1,외국식,,23,,1,,,,,,,,2
195,중일가든,서울 광진구 아차산로76가길 4-0,한식,,234,,,,,,,,,,1
196,매화반점건대점 [중식],서울 광진구 동일로18길 96-0,외국식,,234,,1,,,,,,,,2
197,37.5광진점,서울 광진구 아차산로76가길 5-0,외국식,,23,,2,,,,,,,,3
198,스타벅스자양사거리점,서울 광진구 아차산로 355-0,카페/찻집,,1234,,,,,,,,,,5
199,스타벅스아차산역점,서울 광진구 천호대로 676-0,카페/찻집,,1234,,,,,,,,,,5
200,버거킹구의점,서울 광진구 아차산로 466-0,간이음식,,123,,1,,,,,,,,
201,바르미샤브샤브앤칼국수구의점,서울 광진구 아차산로 471-0,외국식,,234,,2,,,,,,,,1
202,마루샤브아차산역점,서울 광진구 천호대로 633-0,외국식,,234,,2,,,,,,,,1
203,롯데리아군자점,서울 광진구 천호대로 548-0,간이음식,,"1,2,3",,1,,,,,,,,
204,종로상회동서울본사직영점,서울 광진구 광나루로 619-0,한식,,234,,,,,,,,,,1
205,귀품찬숯불갈비건대직영점,서울 광진구 아차산로 192-0,한식,,234,,,,,,,,,,1
206,선남SEA,서울 광진구 자양번영로 62-0,외국식,,234,,2,,,,,,,,3
207,천미향[중식],서울 광진구 능동로 237-0,외국식,,1234,,1,,,,,,,,2
208,뽕사부건대점 [중식],서울 광진구 아차산로 205-0,외국식,,1234,,1,,,,,,,,2
209,하이난[중식],서울 광진구 능동로 243-1,외국식,,1234,,1,,,,,,,,2
210,고고기,서울 광진구 아차산로 471-0,한식,,234,,,,,,,,,,1
211,제주탐하리,서울 광진구 천호대로101길 11-0,한식,,2341,,,,,,,,,,1
212,매드포갈릭건대스타시티점,서울 광진구 아차산로 262-0,외국식,,234,,2,,,,,,,,4
213,아찌떡볶이,서울 광진구 아차산로29길 53-0,간이음식,,123,,1,,,,,,,,1
214,삼일민물장어,서울 광진구 천호대로 685-0,외국식,,234,,2,,,,,,,,3
215,유일설렁탕,서울 광진구 용마산로 154-0,한식,,1234,,,,,,,,,,1
216,안다즈커피,서울 광진구 천호대로132길 10-0,카페/찻집,,1324,,,,,,,,,,5
217,팀스쿡,서울 광진구 광나루로50길 10-0,외국식,,234,,2,,,,,,,,4
218,등촌샤브칼국수자양점,서울 광진구 자양번영로 84-1,한식,,234,,,,,,,,,,1
219,투썸플레이스아차산역점,서울 광진구 천호대로 642-0,카페/찻집,,1234,,,,,,,,,,5
220,힘찬갯벌낙지,서울 광진구 능동로37길 6-0,외국식,,234,,3,,,,,,,,1
221,은혜즉석떡볶이,서울 광진구 광나루로 381-1,간이음식,,23,,1,,,,,,,,1
222,바나나토크,서울 광진구 능동로 237-0,외국식,,234,,2,,,,,,,,4
223,원조남원추어탕숙회,서울 광진구 동일로 114-0,한식,,234,,,,,,,,,,1
224,커피빈구의삼성쉐르빌점,서울 광진구 구의강변로 106-0,카페/찻집,,1234,,,,,,,,,,5
225,KFC광장동점,서울 광진구 광나루로 604-0,간이음식,,123,,1,,,,,,,,
226,송쉐프구의점 [중식],서울 광진구 아차산로 355-0,외국식,,1234,,3,,,,,,,,2
227,스타벅스자양점,서울 광진구 능동로 50-0,카페/찻집,,1234,,,,,,,,,,5
228,송화양꼬치,서울 광진구 동일로18길 70-0,외국식,,234,,2,,,,,,,,2
229,택이네조개전골군자역점,서울 광진구 천호대로 591-0,외국식,,234,,2,,,,,,,,1
230,삼백집건대점,서울 광진구 아차산로 350-0,한식,,1234,,,,,,,,,,1
231,대명소곱창,서울 광진구 능동로 298-0,외국식,,234,,2,,,,,,,,
232,스타벅스건대스타시티점,서울 광진구 아차산로 272-0,카페/찻집,,1234,,,,,,,,,,5
233,로니로티건대점,서울 광진구 아차산로 225-0,외국식,,234,,2,,,,,,,,4
234,평창닭다리살고추장불고기,서울 광진구 뚝섬로 631-0,한식,,1234,,,,,,,,,,1
